"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
num_area_w_pain,pastor_section_1_of_11," ",yesno,"Do you have one part of your body that hurts more than others?",,,,,,,,,,,,,
malepainmap_most,pastor_section_1_of_11," ",text,"Select the part of your body that has had the <b>greatest</b> pain or discomfort in the past 7 days.",,@IMAGEMAP=PAINMAP_MALE+,,,,,"[event_1_arm_1][gender] = '1' and [num_area_w_pain] = '1'",,,,,,
femalepainmap_most,pastor_section_1_of_11," ",text,"Select the part of your body that has had the <b>greatest</b> pain or discomfort in the past 7 days.",,@IMAGEMAP=PAINMAP_FEMALE+,,,,,"[event_1_arm_1][gender] = '2' and [num_area_w_pain] = '1'",,,,,,
activities_text,pastor_section_1_of_11," ",descriptive,"Chronic pain may limit activities that are very important to you (e.g.  ""Pass my physical fitness test""). We hope your pain treatment will make it easier for you to do these important activities. 

On the next few screens  you will be asked to list <i><u>three important activities</u></i> that are difficult for you to perform so that we can monitor them during your pain treatment.""
",,,,,,,,,,,,,
activity_01_m1,pastor_section_1_of_11," ",yesno,"Last time you listed [event_1_arm_1][activities_01] as an important activity.  Is this activity still important to you?",,,,,,,"[event_1_arm_1][pastor_section_1_of_11_complete] = 2",,,,,,
activities_01,pastor_section_1_of_11," ",text,"Please enter your first important activity, in 5 words or less.",,,,,,,"([month_1_arm_1][activity_01_m1] = ""0"") or ([event_1_arm_1][pastor_section_2_of_11_complete] = 0 and [event_1_arm_1][demographics_complete] = 2)",,,,,,
activities_01a,pastor_section_1_of_11," ",radio,"Please rate how much your pain limits you from doing this activity today.","0, No limitation (able to perform at the same level as before pain began) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10- Unable to perform at all",,,,,,"[month_1_arm_1][activities_01] <> "" """,,,,,,
activity_02_m1,pastor_section_1_of_11," ",yesno,"Last time you listed [event_1_arm_1][activities_02] as an important activity.  Is this activity still important to you?",,,,,,,"[event_1_arm_1][pastor_section_1_of_11_complete] = 2",,,,,,
activities_02,pastor_section_1_of_11," ",text,"Please enter your second important activity, in 5 words or less",,,,,,,"([month_1_arm_1][activity_02_m1] = ""0"") or ([event_1_arm_1][pastor_section_2_of_11_complete] = 0 and [event_1_arm_1][demographics_complete] = 2)",,,,,,
activities_02a,pastor_section_1_of_11," ",radio,"Please rate how much your pain limits you from doing this activity today.","0, No limitation (able to perform at the same level as before pain began) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10- Unable to perform at all",,,,,,,,,,,,
activity_03_m1,pastor_section_1_of_11," ",yesno,"Last time you listed [event_1_arm_1][activities_03] as an important activity.  Is this activity still important to you?",,,,,,,"[event_1_arm_1][pastor_section_1_of_11_complete] = 2",,,,,,
activities_03,pastor_section_1_of_11," ",text,"Please enter your third important activity, in 5 words or less.",,,,,,,"([month_1_arm_1][activity_03_m1] = ""0"") or ([event_1_arm_1][pastor_section_2_of_11_complete] = 0 and [event_1_arm_1][demographics_complete] = 2)",,,,,,
activities_03a,pastor_section_1_of_11," ",radio,"Please rate how much your pain limits you from doing this activity today.","0, No limitation (able to perform at the same level as before pain began) | 1, 1 | 2, 2 | 3, 3 | 4, 4 | 5, 5 | 6, 6 | 7, 7 | 8, 8 | 9, 9 | 10, 10- Unable to perform at all",,,,,,,,,,,,
global01,pastor_section_1_of_11," ",radio,"In general, would you say your health is:","5, Excellent | 4, Very Good | 3, Good | 2, Fair | 1, Poor",,,,,,,,,,,,
pastor_painqu27,pastor_section_1_of_11," ",radio,"In the past 7 days, did your pain feel like pins and needles?
","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
pastor_painqu14,pastor_section_1_of_11," ",radio,"In the past 7 days, did your pain feel tingly?
","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
pastor_painqu70,pastor_section_1_of_11," ",radio,"In the past 7 days, did your pain feel stinging?
","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
pastor_painqu31,pastor_section_1_of_11," ",radio,"In the past 7 days, did your pain feel electrical?
","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
pastor_painqu11,pastor_section_1_of_11," ",radio,"In the past 7 days, did your pain feel numb?
","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,,,,,,,
cat_text,pastor_section_1_of_11," ",descriptive,"The next section may take a few additional moments to load each page.  Additionally, use of the back and forward buttons may be limited.",,,,,,,,,,,,,
promis_tscore,pastor_section_2_of_11,"FINAL RESULTS",text,T-score,,,number,,,,"[promis_tscore] <> ''",,,,,,
promis_std_error,pastor_section_2_of_11,,text,"Standard Error",,,number,,,,"[promis_std_error] <> ''",,,,,,
promis_painin1,pastor_section_2_of_11,PAININ1,radio,"In the past 7 days
How difficult was it for you to take in new information because of pain?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin1_qposition] <> ''",,,,,,
promis_painin1_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin1_qposition] <> ''",,,,,,
promis_painin1_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin1_qposition] <> ''",,,,,,
promis_painin1_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin1_qposition] <> ''",,,,,,
promis_painin3,pastor_section_2_of_11,PAININ3,radio,"In the past 7 days
How much did pain interfere with your enjoyment of life?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin3_qposition] <> ''",,,,,,
promis_painin3_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin3_qposition] <> ''",,,,,,
promis_painin3_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin3_qposition] <> ''",,,,,,
promis_painin3_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin3_qposition] <> ''",,,,,,
promis_painin5,pastor_section_2_of_11,PAININ5,radio,"In the past 7 days
How much did pain interfere with your ability to participate in leisure activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin5_qposition] <> ''",,,,,,
promis_painin5_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin5_qposition] <> ''",,,,,,
promis_painin5_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin5_qposition] <> ''",,,,,,
promis_painin5_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin5_qposition] <> ''",,,,,,
promis_painin6,pastor_section_2_of_11,PAININ6,radio,"In the past 7 days
How much did pain interfere with your close personal relationships?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin6_qposition] <> ''",,,,,,
promis_painin6_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin6_qposition] <> ''",,,,,,
promis_painin6_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin6_qposition] <> ''",,,,,,
promis_painin6_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin6_qposition] <> ''",,,,,,
promis_painin8,pastor_section_2_of_11,PAININ8,radio,"In the past 7 days
How much did pain interfere with your ability to concentrate?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin8_qposition] <> ''",,,,,,
promis_painin8_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin8_qposition] <> ''",,,,,,
promis_painin8_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin8_qposition] <> ''",,,,,,
promis_painin8_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin8_qposition] <> ''",,,,,,
promis_painin9,pastor_section_2_of_11,PAININ9,radio,"In the past 7 days
how much did pain interfere with your day to day activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin9_qposition] <> ''",,,,,,
promis_painin9_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin9_qposition] <> ''",,,,,,
promis_painin9_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin9_qposition] <> ''",,,,,,
promis_painin9_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin9_qposition] <> ''",,,,,,
promis_painin10,pastor_section_2_of_11,PAININ10,radio,"In the past 7 days
How much did pain interfere with your enjoyment of recreational activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin10_qposition] <> ''",,,,,,
promis_painin10_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin10_qposition] <> ''",,,,,,
promis_painin10_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin10_qposition] <> ''",,,,,,
promis_painin10_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin10_qposition] <> ''",,,,,,
promis_painin11,pastor_section_2_of_11,PAININ11,radio,"In the past 7 days
How often did you feel emotionally tense because of your pain?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin11_qposition] <> ''",,,,,,
promis_painin11_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin11_qposition] <> ''",,,,,,
promis_painin11_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin11_qposition] <> ''",,,,,,
promis_painin11_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin11_qposition] <> ''",,,,,,
promis_painin12,pastor_section_2_of_11,PAININ12,radio,"In the past 7 days
how much did pain interfere with the things you usually do for fun?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin12_qposition] <> ''",,,,,,
promis_painin12_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin12_qposition] <> ''",,,,,,
promis_painin12_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin12_qposition] <> ''",,,,,,
promis_painin12_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin12_qposition] <> ''",,,,,,
promis_painin13,pastor_section_2_of_11,PAININ13,radio,"In the past 7 days
How much did pain interfere with your family life?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin13_qposition] <> ''",,,,,,
promis_painin13_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin13_qposition] <> ''",,,,,,
promis_painin13_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin13_qposition] <> ''",,,,,,
promis_painin13_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin13_qposition] <> ''",,,,,,
promis_painin14,pastor_section_2_of_11,PAININ14,radio,"In the past 7 days
How much did pain interfere with doing your tasks away from home (e.g., getting groceries, running errands)?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin14_qposition] <> ''",,,,,,
promis_painin14_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin14_qposition] <> ''",,,,,,
promis_painin14_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin14_qposition] <> ''",,,,,,
promis_painin14_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin14_qposition] <> ''",,,,,,
promis_painin16,pastor_section_2_of_11,PAININ16,radio,"In the past 7 days
How often did pain make you feel depressed?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_painin16_qposition] <> ''",,,,,,
promis_painin16_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin16_qposition] <> ''",,,,,,
promis_painin16_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin16_qposition] <> ''",,,,,,
promis_painin16_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin16_qposition] <> ''",,,,,,
promis_painin17,pastor_section_2_of_11,PAININ17,radio,"In the past 7 days
How much did pain interfere with your relationships with other people?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin17_qposition] <> ''",,,,,,
promis_painin17_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin17_qposition] <> ''",,,,,,
promis_painin17_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin17_qposition] <> ''",,,,,,
promis_painin17_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin17_qposition] <> ''",,,,,,
promis_painin18,pastor_section_2_of_11,PAININ18,radio,"In the past 7 days
How much did pain interfere with your ability to work (include work at home)?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin18_qposition] <> ''",,,,,,
promis_painin18_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin18_qposition] <> ''",,,,,,
promis_painin18_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin18_qposition] <> ''",,,,,,
promis_painin18_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin18_qposition] <> ''",,,,,,
promis_painin19,pastor_section_2_of_11,PAININ19,radio,"In the past 7 days
How much did pain make it difficult to fall asleep?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin19_qposition] <> ''",,,,,,
promis_painin19_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin19_qposition] <> ''",,,,,,
promis_painin19_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin19_qposition] <> ''",,,,,,
promis_painin19_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin19_qposition] <> ''",,,,,,
promis_painin20,pastor_section_2_of_11,PAININ20,radio,"In the past 7 days
How much did pain feel like a burden to you?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin20_qposition] <> ''",,,,,,
promis_painin20_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin20_qposition] <> ''",,,,,,
promis_painin20_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin20_qposition] <> ''",,,,,,
promis_painin20_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin20_qposition] <> ''",,,,,,
promis_painin22,pastor_section_2_of_11,PAININ22,radio,"In the past 7 days
how much did pain interfere with work around the home?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin22_qposition] <> ''",,,,,,
promis_painin22_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin22_qposition] <> ''",,,,,,
promis_painin22_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin22_qposition] <> ''",,,,,,
promis_painin22_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin22_qposition] <> ''",,,,,,
promis_painin24,pastor_section_2_of_11,PAININ24,radio,"In the past 7 days
How often was pain distressing to you?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_painin24_qposition] <> ''",,,,,,
promis_painin24_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin24_qposition] <> ''",,,,,,
promis_painin24_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin24_qposition] <> ''",,,,,,
promis_painin24_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin24_qposition] <> ''",,,,,,
promis_painin26,pastor_section_2_of_11,PAININ26,radio,"In the past 7 days
How often did pain keep you from socializing with others?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_painin26_qposition] <> ''",,,,,,
promis_painin26_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin26_qposition] <> ''",,,,,,
promis_painin26_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin26_qposition] <> ''",,,,,,
promis_painin26_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin26_qposition] <> ''",,,,,,
promis_painin29,pastor_section_2_of_11,PAININ29,radio,"In the past 7 days
How often was your pain so severe you could think of nothing else?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_painin29_qposition] <> ''",,,,,,
promis_painin29_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin29_qposition] <> ''",,,,,,
promis_painin29_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin29_qposition] <> ''",,,,,,
promis_painin29_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin29_qposition] <> ''",,,,,,
promis_painin31,pastor_section_2_of_11,PAININ31,radio,"In the past 7 days
how much did pain interfere with your ability to participate in social activities?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin31_qposition] <> ''",,,,,,
promis_painin31_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin31_qposition] <> ''",,,,,,
promis_painin31_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin31_qposition] <> ''",,,,,,
promis_painin31_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin31_qposition] <> ''",,,,,,
promis_painin32,pastor_section_2_of_11,PAININ32,radio,"In the past 7 days
How often did pain make you feel discouraged?","1, Never | 2, Rarely | 3, Sometimes | 4, Often | 5, Always",,,,,,"[promis_painin32_qposition] <> ''",,,,,,
promis_painin32_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin32_qposition] <> ''",,,,,,
promis_painin32_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin32_qposition] <> ''",,,,,,
promis_painin32_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin32_qposition] <> ''",,,,,,
promis_painin34,pastor_section_2_of_11,PAININ34,radio,"In the past 7 days
how much did pain interfere with your household chores?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin34_qposition] <> ''",,,,,,
promis_painin34_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin34_qposition] <> ''",,,,,,
promis_painin34_stderror,pastor_section_2_of_11,,text,"Standard Error (Cumulative)",,,number,,,,"[promis_painin34_qposition] <> ''",,,,,,
promis_painin34_qposition,pastor_section_2_of_11,,text,"Question Position",,,integer,,,,"[promis_painin34_qposition] <> ''",,,,,,
promis_painin35,pastor_section_2_of_11,PAININ35,radio,"In the past 7 days
How much did pain interfere with your ability to make trips from home that kept you gone for more than 2 hours?","1, Not at all | 2, A little bit | 3, Somewhat | 4, Quite a bit | 5, Very much",,,,,,"[promis_painin35_qposition] <> ''",,,,,,
promis_painin35_tscore,pastor_section_2_of_11,,text,"T-score (Cumulative)",,,number,,,,"[promis_painin35_qposition] <> ''",,,,,,
